Citywide Months Longterm Months,Citywide Months Longterm Total New Dwellings,Citywide Months Longterm New Houses,Citywide Months Longterm New Units,Citywide Months Longterm New Apartments,Citywide Months Longterm Retirement Village Units,Citywide Months Longterm Total Construction Value,Citywide Months Longterm Residential Buildings,Citywide Months Longterm NonResidential Construction
Nov '03,109,67,26,16,0,37590181,24030554,13559627
Dec '03,180,33,34,113,0,70716071,40401821,30314250
Jan '04,148,18,20,110,0,29722775,18200998,11521777
Feb '04,58,34,9,15,0,19193564,13177884,6015680
March '04,117,28,16,49,24,37755473,24583161,13172312
April '04,39,25,13,1,0,19121924,12942424,6179500
May '04,92,29,26,37,0,55185476,20345608,34839868
June '04,230,38,17,175,0,54032243,25895801,28136442
July '04,108,38,14,56,0,61861169,28287789,33573380
Aug '04,37,22,11,4,0,28325385,11658731,16666654
Sept '04,53,39,7,7,0,21934872,15518027,6416845
Oct '04,63,32,13,18,0,65041643,18379952,46661691
Nov '04,65,33,32,0,0,111891414,20987263,90904151
Dec '04,37,26,8,3,0,28479125,15828665,12650460
Jan '05,34,21,13,0,0,23531231,11605384,11925847
Feb '05,23,19,4,0,0,30742647,14148122,16594525
March '05,259,38,18,203,0,75108149,58302135,16806014
April '05,13,11,1,1,0,14435698,5422740,9012958
May '05,43,26,15,2,0,31899947,17251008,14648939
June '05,94,17,15,62,0,49588739,18341152,31247587
July '05,42,28,14,0,0,23016246,13202522,9813724
Aug '05,62,24,9,29,0,51949942,14550866,37399076
Sept '05,151,25,18,108,0,49264843,27354476,21910367
Oct '05,81,28,15,38,0,36765757,17315280,19450477
Nov '05,53,27,24,2,0,75635053,32244980,43390073
Dec '05,40,28,10,2,0,152396048,19446548,132949500
Jan '06,26,17,8,1,0,39825551,16923116,22902435
Feb '06,126,29,19,7,71,49240410,30678410,18562000
March '06,75,27,17,31,0,48228596,21624269,26604327
April '06,27,13,14,0,0,16586860,8978860,7608000
May '06,46,25,20,1,0,31674219,17345177,14329042
June '06,49,22,10,17,0,46723159,17870322,28852837
July '06,44,25,16,3,0,25192722,14735172,10457550
Aug '06,45,25,20,0,0,35354252,16488669,18865583
Sept '06,42,29,9,4,0,41066131,17551341,23514790
Oct '06,35,23,11,1,0,23178985,16450168,6728817
Nov '06,52,32,19,1,0,36853170,20310676,16542494
Dec '06,66,28,38,0,0,41593966,24087419,17506547
Jan '07,43,22,21,0,0,30744308,16777645,13966663
Feb '07,33,16,16,1,0,52412802,15640402,36772400
March '07,58,22,4,32,0,62463768,16771081,45692687
April '07,57,20,29,8,0,32654830,15101879,17552951
May '07,44,30,11,3,0,28279021,19293369,8985652
June '07,160,31,28,101,0,42109497,32392997,9716500
July '07,80,20,12,48,0,37809226,16130973,21678253
Aug '07,55,22,15,18,0,81334666,23270754,58063912
Sept '07,51,27,11,13,0,50499800,27155510,23344290
Oct '07,42,25,16,1,0,76182109,17986700,58195409
Nov '07,80,23,52,5,0,69316365,20452365,48864000
Dec '07,95,21,62,12,0,52243253,23759103,28484150
Jan '08,42,26,12,4,0,49031251,16143021,32888230
Feb '08,66,21,9,36,0,48618578,38930008,9688570
March '08,27,19,8,0,0,43531367,12628262,30903105
April '08,352,12,13,327,0,69104854,48234562,20870292
May '08,51,25,26,0,0,30243939,18753827,11490112
June '08,22,15,6,1,0,27976613,12184626,15791987
July '08,135,15,7,113,0,42513167,25258310,17254857
Aug '08,123,37,21,65,0,62642841,42540669,20102172
Sept '08,149,6,11,132,0,74122224,39353099,34769125
Oct '08,41,13,17,9,2,34220344,15958075,18262269
Nov '08,22,16,6,0,0,65241156,24455110,40786046
