KilometresDriveToCBD,Suburb,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016
,Wilton,5,8,0,1,9,0,2,1,4,2,1,1,1,0,5,0,1,2,0,2,1,2,2,1,1,1,5,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432350,2974170,1126300,1056520,2861500,978375,1665451,1168213,3312490,1227300,1370500,1280000,832000
6km,Lyall Bay,11,1,4,5,1,1,1,3,4,11,7,0,1,6,1,1,5,0,0,1,2,1,1,2,0,1,5,0,3,0,1,1,0,0,3,10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2893253,873000,1576170,2383108,1490320,1212000,2050450,2465670,4718400,5558500,3471000,1811990,2133325
,Rongotai,1,0,2,1,2,0,2,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360560,18019500,15304650,9215540,20974125,4483000,8861300,11608450,6624149,935150,26409246,48920150,50863000
,Island Bay,13,6,16,21,23,18,11,10,7,7,8,23,15,8,3,5,5,13,6,10,9,3,3,8,3,5,4,3,11,16,10,1,1,1,4,4,0,20,10,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5279660,5624150,7909743,10094283,15160170,8088535,9133628,12668699,6490745,5147848,8822508,10845012,14328345
,Southgate,1,2,1,2,0,2,3,0,0,1,1,5,0,1,1,0,1,0,1,1,0,0,1,0,3,0,0,1,1,1,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564000,161000,881198,1385600,734200,891902,932500,507800,710700,865000,258000,2031875,830000
,Owhiro Bay,3,3,2,0,1,6,12,2,4,5,2,4,1,1,1,0,0,1,6,3,2,4,5,1,4,1,2,1,2,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249100,1321000,1075535,1467000,1403200,3000000,2598500,2284400,2206195,2158488,952000,2206000,1073000
,Ngaio,12,7,12,9,15,4,17,6,10,5,10,4,7,6,7,8,5,4,3,7,6,3,4,7,2,6,6,0,4,4,11,1,10,0,6,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5825250,6604972,6220099,5432650,7913000,5915355,6278900,6994550,6655720,4920270,10539486,4114490,7600700
,Miramar,44,17,39,27,18,10,16,17,12,38,30,25,36,12,9,15,16,15,9,9,10,11,5,10,5,4,32,8,24,11,3,1,7,7,1,6,20,20,22,0,0,0,0,0,0,0,0,0,27,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,17310848,9985000,12473920,12224795,8351827,10847995,14235189,11204000,9104424,16894848,17336903,9747010,18342436
,Crofton Downs,3,1,2,5,4,4,8,4,4,8,3,27,2,1,1,2,5,3,4,8,4,4,8,1,5,2,2,0,0,0,1,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358400,764500,1983000,1813132,1739400,14669305,5857790,11653812,4010400,10395008,1831000,6371473,1984000
7km,Houghton Bay,2,1,5,3,3,1,1,1,0,2,5,1,1,2,1,2,3,1,1,0,1,0,2,2,1,1,0,0,3,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298000,1553000,1640694,933855,1942699,542000,489000,1800000,485000,1113000,1911920,2094000,2337400
