Year,TotalDwellingsAro Valley,TotalDwellingsBerhampore,TotalDwellingsBreaker Bay,TotalDwellingsBroadmeadows,TotalDwellingsBrooklyn,TotalDwellingsChurton Park,TotalDwellingsCrofton Downs,TotalDwellingsGlenside,TotalDwellingsGrenada North,TotalDwellingsGrenada Village,TotalDwellingsHataitai,TotalDwellingsHighbury,TotalDwellingsHorokiwi,TotalDwellingsHoughton Bay,TotalDwellingsIsland Bay,TotalDwellingsJohnsonville,TotalDwellingsKaiwharawhara,TotalDwellingsKaraka Bays,TotalDwellingsKarori,TotalDwellingsKelburn,TotalDwellingsKhandallah,TotalDwellingsKilbirnie,TotalDwellingsKingston,TotalDwellingsLyall Bay,TotalDwellingsMakara,TotalDwellingsMakara Beach,TotalDwellingsMaupuia,TotalDwellingsMelrose,TotalDwellingsMiramar,TotalDwellingsMoa Point,TotalDwellingsMornington,TotalDwellingsMt Cook,TotalDwellingsMt Victoria,TotalDwellingsNewlands,TotalDwellingsNewtown,TotalDwellingsNgaio,TotalDwellingsNgauranga,TotalDwellingsNorthland,TotalDwellingsOhariu,TotalDwellingsOriental Bay,TotalDwellingsOwhiro Bay,TotalDwellingsPaparangi,TotalDwellingsPipitea,TotalDwellingsRongotai,TotalDwellingsRoseneath,TotalDwellingsSeatoun,TotalDwellingsSouthgate,TotalDwellingsStrathmore Park,TotalDwellingsTakapu Valley,TotalDwellingsTawa,TotalDwellingsTe Aro,TotalDwellingsThorndon,TotalDwellingsVogeltown,TotalDwellingsWadestown,TotalDwellingsWellington Central,TotalDwellingsWilton,TotalDwellingsWoodridge,TotalDwellingsWellington City Total,HousesAro Valley,HousesBerhampore,HousesBreaker Bay,HousesBroadmeadows,HousesBrooklyn,HousesChurton Park,HousesCrofton Downs,HousesGlenside,HousesGrenada North,HousesGrenada Village,HousesHataitai,HousesHighbury,HousesHorokiwi,HousesHoughton Bay,HousesIsland Bay,HousesJohnsonville,HousesKaiwharawhara,HousesKaraka Bays,HousesKarori,HousesKelburn,HousesKhandallah,HousesKilbirnie,HousesKingston,HousesLyall Bay,HousesMakara,HousesMakara Beach,HousesMaupuia,HousesMelrose,HousesMiramar,HousesMoa Point,HousesMornington,HousesMt Cook,HousesMt Victoria,HousesNewlands,HousesNewtown,HousesNgaio,HousesNgauranga,HousesNorthland,HousesOhariu,HousesOriental Bay,HousesOwhiro Bay,HousesPaparangi,HousesPipitea,HousesRongotai,HousesRoseneath,HousesSeatoun,HousesSouthgate,HousesStrathmore Park,HousesTakapu Valley,HousesTawa,HousesTe Aro,HousesThorndon,HousesVogeltown,HousesWadestown,HousesWellington Central,HousesWilton,HousesWoodridge,HousesWellington City Total,UnitsAro Valley,UnitsBerhampore,UnitsBreaker Bay,UnitsBroadmeadows,UnitsBrooklyn,UnitsChurton Park,UnitsCrofton Downs,UnitsGlenside,UnitsGrenada North,UnitsGrenada Village,UnitsHataitai,UnitsHighbury,UnitsHorokiwi,UnitsHoughton Bay,UnitsIsland Bay,UnitsJohnsonville,UnitsKaiwharawhara,UnitsKaraka Bays,UnitsKarori,UnitsKelburn,UnitsKhandallah,UnitsKilbirnie,UnitsKingston,UnitsLyall Bay,UnitsMakara,UnitsMakara Beach,UnitsMaupuia,UnitsMelrose,UnitsMiramar,UnitsMoa Point,UnitsMornington,UnitsMt Cook,UnitsMt Victoria,UnitsNewlands,UnitsNewtown,UnitsNgaio,UnitsNgauranga,UnitsNorthland,UnitsOhariu,UnitsOriental Bay,UnitsOwhiro Bay,UnitsPaparangi,UnitsPipitea,UnitsRongotai,UnitsRoseneath,UnitsSeatoun,UnitsSouthgate,UnitsStrathmore Park,UnitsTakapu Valley,UnitsTawa,UnitsTe Aro,UnitsThorndon,UnitsVogeltown,UnitsWadestown,UnitsWellington Central,UnitsWilton,UnitsWoodridge,UnitsWellington City Total,ApartmentsAro Valley,ApartmentsBerhampore,ApartmentsBreaker Bay,ApartmentsBroadmeadows,ApartmentsBrooklyn,ApartmentsChurton Park,ApartmentsCrofton Downs,ApartmentsGlenside,ApartmentsGrenada North,ApartmentsGrenada Village,ApartmentsHataitai,ApartmentsHighbury,ApartmentsHorokiwi,ApartmentsHoughton Bay,ApartmentsIsland Bay,ApartmentsJohnsonville,ApartmentsKaiwharawhara,ApartmentsKaraka Bays,ApartmentsKarori,ApartmentsKelburn,ApartmentsKhandallah,ApartmentsKilbirnie,ApartmentsKingston,ApartmentsLyall Bay,ApartmentsMakara,ApartmentsMakara Beach,ApartmentsMaupuia,ApartmentsMelrose,ApartmentsMiramar,ApartmentsMoa Point,ApartmentsMornington,ApartmentsMt Cook,ApartmentsMt Victoria,ApartmentsNewlands,ApartmentsNewtown,ApartmentsNgaio,ApartmentsNgauranga,ApartmentsNorthland,ApartmentsOhariu,ApartmentsOriental Bay,ApartmentsOwhiro Bay,ApartmentsPaparangi,ApartmentsPipitea,ApartmentsRongotai,ApartmentsRoseneath,ApartmentsSeatoun,ApartmentsSouthgate,ApartmentsStrathmore Park,ApartmentsTakapu Valley,ApartmentsTawa,ApartmentsTe Aro,ApartmentsThorndon,ApartmentsVogeltown,ApartmentsWadestown,ApartmentsWellington Central,ApartmentsWilton,ApartmentsWoodridge,ApartmentsWellington City Total,Retirement Village UnitsAro Valley,Retirement Village UnitsBerhampore,Retirement Village UnitsBreaker Bay,Retirement Village UnitsBroadmeadows,Retirement Village UnitsBrooklyn,Retirement Village UnitsChurton Park,Retirement Village UnitsCrofton Downs,Retirement Village UnitsGlenside,Retirement Village UnitsGrenada North,Retirement Village UnitsGrenada Village,Retirement Village UnitsHataitai,Retirement Village UnitsHighbury,Retirement Village UnitsHorokiwi,Retirement Village UnitsHoughton Bay,Retirement Village UnitsIsland Bay,Retirement Village UnitsJohnsonville,Retirement Village UnitsKaiwharawhara,Retirement Village UnitsKaraka Bays,Retirement Village UnitsKarori,Retirement Village UnitsKelburn,Retirement Village UnitsKhandallah,Retirement Village UnitsKilbirnie,Retirement Village UnitsKingston,Retirement Village UnitsLyall Bay,Retirement Village UnitsMakara,Retirement Village UnitsMakara Beach,Retirement Village UnitsMaupuia,Retirement Village UnitsMelrose,Retirement Village UnitsMiramar,Retirement Village UnitsMoa Point,Retirement Village UnitsMornington,Retirement Village UnitsMt Cook,Retirement Village UnitsMt Victoria,Retirement Village UnitsNewlands,Retirement Village UnitsNewtown,Retirement Village UnitsNgaio,Retirement Village UnitsNgauranga,Retirement Village UnitsNorthland,Retirement Village UnitsOhariu,Retirement Village UnitsOriental Bay,Retirement Village UnitsOwhiro Bay,Retirement Village UnitsPaparangi,Retirement Village UnitsPipitea,Retirement Village UnitsRongotai,Retirement Village UnitsRoseneath,Retirement Village UnitsSeatoun,Retirement Village UnitsSouthgate,Retirement Village UnitsStrathmore Park,Retirement Village UnitsTakapu Valley,Retirement Village UnitsTawa,Retirement Village UnitsTe Aro,Retirement Village UnitsThorndon,Retirement Village UnitsVogeltown,Retirement Village UnitsWadestown,Retirement Village UnitsWellington Central,Retirement Village UnitsWilton,Retirement Village UnitsWoodridge,Retirement Village UnitsWellington City Total,ConstructionValueAro Valley,ConstructionValueBerhampore,ConstructionValueBreaker Bay,ConstructionValueBroadmeadows,ConstructionValueBrooklyn,ConstructionValueChurton Park,ConstructionValueCrofton Downs,ConstructionValueGlenside,ConstructionValueGrenada North,ConstructionValueGrenada Village,ConstructionValueHataitai,ConstructionValueHighbury,ConstructionValueHorokiwi,ConstructionValueHoughton Bay,ConstructionValueIsland Bay,ConstructionValueJohnsonville,ConstructionValueKaiwharawhara,ConstructionValueKaraka Bays,ConstructionValueKarori,ConstructionValueKelburn,ConstructionValueKhandallah,ConstructionValueKilbirnie,ConstructionValueKingston,ConstructionValueLyall Bay,ConstructionValueMakara,ConstructionValueMakara Beach,ConstructionValueMaupuia,ConstructionValueMelrose,ConstructionValueMiramar,ConstructionValueMoa Point,ConstructionValueMornington,ConstructionValueMt Cook,ConstructionValueMt Victoria,ConstructionValueNewlands,ConstructionValueNewtown,ConstructionValueNgaio,ConstructionValueNgauranga,ConstructionValueNorthland,ConstructionValueOhariu,ConstructionValueOriental Bay,ConstructionValueOwhiro Bay,ConstructionValuePaparangi,ConstructionValuePipitea,ConstructionValueRongotai,ConstructionValueRoseneath,ConstructionValueSeatoun,ConstructionValueSouthgate,ConstructionValueStrathmore Park,ConstructionValueTakapu Valley,ConstructionValueTawa,ConstructionValueTe Aro,ConstructionValueThorndon,ConstructionValueVogeltown,ConstructionValueWadestown,ConstructionValueWellington Central,ConstructionValueWilton,ConstructionValueWoodridge,ConstructionValueWellington City Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
